datetime,timestamp,current,voltage,soc,temperature
43:52.7,1684230233,-0.84,366.33,86.69,26.84
43:52.8,1684230233,-0.84,366.33,86.69,26.84
43:53.0,1684230233,-0.84,366.33,86.69,26.84
43:53.1,1684230233,-0.84,366.33,86.69,26.84
43:53.2,1684230233,-0.93,366.33,86.69,26.84
43:53.3,1684230233,-0.93,366.31,86.69,26.84
43:53.4,1684230233,-0.93,366.31,86.69,26.84
43:53.5,1684230234,-0.93,366.31,86.69,26.84
43:53.6,1684230234,-0.93,366.31,86.69,26.84
43:53.8,1684230234,-0.93,366.31,86.69,26.84
43:53.9,1684230234,-0.93,366.31,86.69,26.84
43:54.0,1684230234,-0.76,366.31,86.69,26.84
43:54.1,1684230234,-0.76,366.39,86.69,26.84
43:54.2,1684230234,-0.76,366.39,86.69,26.84
43:54.3,1684230234,-0.76,366.39,86.69,26.84
43:54.5,1684230234,-0.76,366.39,86.69,26.84
43:54.6,1684230235,-0.76,366.39,86.69,26.84
43:54.7,1684230235,-0.76,366.39,86.69,26.84
43:54.8,1684230235,-0.76,366.39,86.69,26.84
43:54.9,1684230235,-1,366.33,86.69,26.84
43:55.0,1684230235,-1,366.33,86.69,26.84
43:55.1,1684230235,-1,366.33,86.69,26.84
43:55.2,1684230235,-1,366.33,86.69,26.84
43:55.3,1684230235,-1,366.33,86.69,26.84
43:55.4,1684230235,-1,366.33,86.69,26.84
43:55.6,1684230236,-0.88,366.33,86.69,26.84
43:55.7,1684230236,-0.88,366.41,86.69,26.84
43:55.8,1684230236,-0.88,366.41,86.69,26.84
43:55.9,1684230236,-0.88,366.41,86.69,26.84
43:56.0,1684230236,-0.88,366.41,86.69,26.84
43:56.1,1684230236,-0.88,366.41,86.69,26.84
43:56.2,1684230236,-0.88,366.41,86.69,26.84
43:56.3,1684230236,-0.88,366.41,86.69,26.84
43:56.4,1684230236,-0.83,366.41,86.69,26.84
43:56.6,1684230237,-0.83,366.35,86.69,26.84
43:56.7,1684230237,-0.83,366.35,86.69,26.84
43:56.8,1684230237,-0.83,366.35,86.69,26.84
43:56.9,1684230237,-0.83,366.35,86.69,26.84
43:57.0,1684230237,-0.83,366.35,86.69,26.84
43:57.1,1684230237,-1.09,366.35,86.69,26.84
43:57.2,1684230237,-1.09,366.29,86.69,26.84
43:57.3,1684230237,-1.09,366.29,86.69,26.84
43:57.5,1684230237,-1.09,366.29,86.69,26.84
43:57.6,1684230238,-1.09,366.29,86.69,26.84
43:57.7,1684230238,-1.09,366.29,86.69,26.84
43:57.8,1684230238,-1.09,366.29,86.69,26.84
43:57.9,1684230238,-0.88,366.29,86.69,26.84
43:58.0,1684230238,-0.88,366.33,86.69,26.84
43:58.2,1684230238,-0.88,366.33,86.69,26.84
43:58.3,1684230238,-0.88,366.33,86.69,26.84
43:58.4,1684230238,-0.88,366.33,86.69,26.84
43:58.5,1684230239,-0.88,366.33,86.69,26.84
43:58.6,1684230239,-0.88,366.33,86.69,26.84
43:58.7,1684230239,-1.08,366.33,86.69,26.84
43:58.9,1684230239,-1.08,366.37,86.69,26.84
43:59.0,1684230239,-1.08,366.37,86.69,26.84
43:59.1,1684230239,-1.08,366.37,86.69,26.84
43:59.2,1684230239,-1.08,366.37,86.69,26.84
43:59.3,1684230239,-1.08,366.37,86.69,26.84
43:59.4,1684230239,-1.29,366.37,86.69,26.84
43:59.5,1684230240,-1.29,366.21,86.69,26.84
43:59.6,1684230240,-1.29,366.21,86.69,26.84
43:59.7,1684230240,-1.29,366.21,86.69,26.84
43:59.8,1684230240,-1.29,366.21,86.69,26.84
44:00.0,1684230240,-1.29,366.21,86.69,26.84
44:00.1,1684230240,-1.29,366.21,86.69,26.84
44:00.2,1684230240,-0.81,366.21,86.69,26.84
44:00.3,1684230240,-0.81,366.31,86.69,26.84
44:00.4,1684230240,-0.81,366.31,86.69,26.84
44:00.5,1684230241,-0.81,366.31,86.69,26.84
44:00.6,1684230241,-0.81,366.31,86.69,26.84
44:00.8,1684230241,-0.81,366.31,86.69,26.84
44:00.9,1684230241,-0.81,366.31,86.69,26.84
44:01.0,1684230241,-1.08,366.31,86.69,26.84
44:01.1,1684230241,-1.08,366.25,86.69,26.84
44:01.2,1684230241,-1.08,366.25,86.69,26.84
44:01.3,1684230241,-1.08,366.25,86.69,26.84
44:01.4,1684230241,-1.08,366.25,86.69,26.84
44:01.5,1684230242,-1.08,366.25,86.69,26.84
44:01.7,1684230242,-1.08,366.25,86.69,26.84
44:01.7,1684230242,-0.88,366.33,86.69,26.84
44:01.9,1684230242,-0.88,366.33,86.69,26.84
44:02.0,1684230242,-0.88,366.33,86.69,26.84
44:02.1,1684230242,-0.88,366.33,86.69,26.84
44:02.2,1684230242,-0.88,366.33,86.69,26.84
44:02.3,1684230242,-0.88,366.33,86.69,26.84
44:02.4,1684230242,-0.75,366.33,86.69,26.84
44:02.6,1684230243,-0.75,366.37,86.69,26.84
44:02.7,1684230243,-0.75,366.37,86.69,26.84
44:02.8,1684230243,-0.75,366.37,86.69,26.84
44:02.9,1684230243,-0.75,366.37,86.69,26.84
44:03.0,1684230243,-0.75,366.37,86.69,26.84
44:03.1,1684230243,-0.75,366.37,86.69,26.84
44:03.2,1684230243,-1.18,366.37,86.69,26.84
44:03.3,1684230243,-1.18,366.23,86.69,26.84
44:03.4,1684230243,-1.18,366.23,86.69,26.84
44:03.5,1684230244,-1.18,366.23,86.69,26.84
44:03.7,1684230244,-1.18,366.23,86.69,26.84
44:03.7,1684230244,-1.18,366.23,86.69,26.84
44:03.9,1684230244,-1.18,366.23,86.69,26.84
44:04.0,1684230244,-0.83,366.23,86.69,26.84
44:04.1,1684230244,-0.83,366.35,86.69,26.84
44:04.2,1684230244,-0.83,366.35,86.69,26.84
44:04.3,1684230244,-0.83,366.35,86.69,26.84
44:04.4,1684230244,-0.83,366.35,86.69,26.84
44:04.5,1684230245,-0.83,366.35,86.69,26.84
44:04.6,1684230245,-1.08,366.35,86.69,26.84
44:04.8,1684230245,-1.08,366.37,86.69,26.84
44:04.9,1684230245,-1.08,366.37,86.69,26.84
44:05.0,1684230245,-1.08,366.37,86.69,26.84
44:05.1,1684230245,-1.08,366.37,86.69,26.84
44:05.2,1684230245,-1.08,366.37,86.69,26.84
44:05.3,1684230245,-1.08,366.37,86.69,26.84
44:05.4,1684230245,-0.85,366.37,86.69,26.84
44:05.5,1684230246,-0.85,366.35,86.69,26.84
44:05.6,1684230246,-0.85,366.35,86.69,26.84
44:05.7,1684230246,-0.85,366.35,86.69,26.84
44:05.9,1684230246,-0.85,366.35,86.69,26.84
44:06.0,1684230246,-0.85,366.35,86.69,26.84
44:06.1,1684230246,-0.85,366.35,86.69,26.84
44:06.1,1684230246,-0.65,366.35,86.69,26.84
44:06.3,1684230246,-0.65,366.39,86.69,26.84
44:06.4,1684230246,-0.65,366.39,86.69,26.84
44:06.5,1684230246,-0.65,366.39,86.69,26.84
44:06.6,1684230247,-0.65,366.39,86.69,26.84
44:06.7,1684230247,-0.65,366.39,86.69,26.84
44:06.8,1684230247,-0.65,366.39,86.69,26.84
44:07.0,1684230247,-1.14,366.39,86.69,26.84
44:07.1,1684230247,-1.14,366.29,86.69,26.84
44:07.2,1684230247,-1.14,366.29,86.69,26.84
44:07.3,1684230247,-1.14,366.29,86.69,26.84
44:07.4,1684230247,-1.14,366.29,86.69,26.84
44:07.5,1684230247,-1.14,366.29,86.69,26.84
44:07.6,1684230248,-1.14,366.29,86.69,26.84
44:07.7,1684230248,-0.73,366.39,86.69,26.84
44:07.8,1684230248,-0.73,366.39,86.69,26.84
44:07.9,1684230248,-0.73,366.39,86.69,26.84
44:08.1,1684230248,-0.73,366.39,86.69,26.84
44:08.2,1684230248,-0.73,366.39,86.69,26.84
44:08.3,1684230248,-0.73,366.39,86.69,26.84
44:08.4,1684230248,-1.06,366.39,86.69,26.84
44:08.5,1684230249,-1.06,366.29,86.69,26.84
44:08.6,1684230249,-1.06,366.29,86.69,26.84
44:08.7,1684230249,-1.06,366.29,86.69,26.84
44:08.8,1684230249,-1.06,366.29,86.69,26.84
44:09.0,1684230249,-1.06,366.29,86.69,26.84
44:09.1,1684230249,-1.06,366.29,86.69,26.84
44:09.2,1684230249,-1.25,366.29,86.69,26.84
44:09.3,1684230249,-1.25,366.29,86.69,26.84
44:09.4,1684230249,-1.25,366.29,86.69,26.84
44:09.5,1684230250,-1.25,366.29,86.69,26.84
44:09.7,1684230250,-1.25,366.29,86.69,26.84
44:09.8,1684230250,-1.25,366.29,86.69,26.84
44:09.9,1684230250,-1.25,366.29,86.69,26.84
44:10.0,1684230250,-0.82,366.33,86.69,26.84
44:10.1,1684230250,-0.82,366.33,86.69,26.84
44:10.2,1684230250,-0.82,366.33,86.69,26.84
44:10.3,1684230250,-0.82,366.33,86.69,26.84
44:10.4,1684230250,-0.82,366.33,86.69,26.84
44:10.5,1684230251,-0.82,366.33,86.69,26.84
44:10.7,1684230251,-1.08,366.33,86.69,26.84
44:10.8,1684230251,-1.08,366.31,86.69,26.84
44:10.9,1684230251,-1.08,366.31,86.69,26.84
44:11.0,1684230251,-1.08,366.31,86.69,26.84
44:11.1,1684230251,-1.08,366.31,86.69,26.84
44:11.2,1684230251,-1.08,366.31,86.69,26.84
44:11.4,1684230251,-1.08,366.31,86.69,26.84
44:11.4,1684230251,-0.94,366.31,86.69,26.84
44:11.6,1684230252,-0.94,366.31,86.69,26.84
44:11.7,1684230252,-0.94,366.31,86.69,26.84
44:11.8,1684230252,-0.94,366.31,86.69,26.84
44:11.9,1684230252,-0.94,366.31,86.69,26.84
44:12.0,1684230252,-0.94,366.31,86.69,26.84
44:12.2,1684230252,-0.94,366.31,86.69,26.84
44:12.3,1684230252,-0.64,366.33,86.69,26.84
44:12.3,1684230252,-0.64,366.33,86.69,26.84
44:12.5,1684230252,-0.64,366.33,86.69,26.84
44:12.6,1684230253,-0.64,366.33,86.69,26.84
44:12.7,1684230253,-0.64,366.33,86.69,26.84
44:12.8,1684230253,-0.64,366.33,86.69,26.84
44:12.9,1684230253,-1.02,366.33,86.69,26.84
44:13.0,1684230253,-1.02,366.27,86.69,26.84
44:13.1,1684230253,-1.02,366.27,86.69,26.84
44:13.2,1684230253,-1.02,366.27,86.69,26.84
44:13.3,1684230253,-1.02,366.27,86.69,26.84
44:13.5,1684230253,-1.02,366.27,86.69,26.84
44:13.6,1684230254,-1.02,366.27,86.69,26.84
44:13.7,1684230254,-0.9,366.27,86.69,26.84
44:13.8,1684230254,-0.9,366.25,86.69,26.84
44:13.9,1684230254,-0.9,366.25,86.69,26.84
44:14.0,1684230254,-0.9,366.25,86.69,26.84
44:14.1,1684230254,-0.9,366.25,86.69,26.84
44:14.2,1684230254,-0.9,366.25,86.69,26.84
44:14.3,1684230254,-0.9,366.25,86.69,26.84
44:14.5,1684230254,-1.02,366.25,86.69,26.84
44:14.6,1684230255,-1.02,366.35,86.69,26.84
44:14.7,1684230255,-1.02,366.35,86.69,26.84
44:14.8,1684230255,-1.02,366.35,86.69,26.84
44:14.9,1684230255,-1.02,366.35,86.69,26.84
44:15.0,1684230255,-1.02,366.35,86.69,26.84
44:15.1,1684230255,-1.02,366.35,86.69,26.84
44:15.2,1684230255,-0.77,366.29,86.69,26.84
44:15.3,1684230255,-0.77,366.29,86.69,26.84
44:15.5,1684230255,-0.77,366.29,86.69,26.84
44:15.6,1684230256,-0.77,366.29,86.69,26.84
44:15.7,1684230256,-0.77,366.29,86.69,26.84
44:15.8,1684230256,-0.77,366.29,86.68,26.84
44:15.9,1684230256,-0.77,366.29,86.68,26.84
44:16.0,1684230256,-0.87,366.39,86.68,26.84
44:16.1,1684230256,-0.87,366.39,86.68,26.84
44:16.2,1684230256,-0.87,366.39,86.68,26.84
44:16.3,1684230256,-0.87,366.39,86.68,26.84
44:16.4,1684230256,-0.87,366.39,86.68,26.84
44:16.6,1684230257,-0.87,366.39,86.68,26.84
44:16.7,1684230257,-1.09,366.39,86.68,26.84
44:16.8,1684230257,-1.09,366.37,86.68,26.84
44:16.9,1684230257,-1.09,366.37,86.68,26.84
44:17.0,1684230257,-1.09,366.37,86.68,26.84
44:17.1,1684230257,-1.09,366.37,86.68,26.84
44:17.3,1684230257,-1.09,366.37,86.68,26.84
44:17.4,1684230257,-1.09,366.37,86.68,26.84
44:17.5,1684230257,-0.93,366.37,86.68,26.84
44:17.6,1684230258,-0.93,366.19,86.68,26.84
44:17.7,1684230258,-0.93,366.19,86.68,26.84
44:17.8,1684230258,-0.93,366.19,86.68,26.84
44:17.9,1684230258,-0.93,366.19,86.68,26.84
44:18.0,1684230258,-0.93,366.19,86.68,26.84
44:18.1,1684230258,-0.93,366.19,86.68,26.84
44:18.2,1684230258,-1.06,366.19,86.68,26.84
44:18.4,1684230258,-1.06,366.39,86.68,26.84
44:18.4,1684230258,-1.06,366.39,86.68,26.84
44:18.6,1684230259,-1.06,366.39,86.68,26.84
44:18.7,1684230259,-1.06,366.39,86.68,26.84
44:18.8,1684230259,-1.06,366.39,86.68,26.84
44:18.9,1684230259,-1.06,366.39,86.68,26.84
44:19.0,1684230259,-0.96,366.39,86.68,26.84
44:19.1,1684230259,-0.96,366.41,86.68,26.84
44:19.2,1684230259,-0.96,366.41,86.68,26.84
44:19.3,1684230259,-0.96,366.41,86.68,26.84
44:19.4,1684230259,-0.96,366.41,86.68,26.84
44:19.6,1684230260,-0.96,366.41,86.68,26.84
44:19.7,1684230260,-1.13,366.41,86.68,26.84
44:19.7,1684230260,-1.13,366.35,86.68,26.84
44:19.9,1684230260,-1.13,366.35,86.68,26.84
44:20.0,1684230260,-1.13,366.35,86.68,26.84
44:20.1,1684230260,-1.13,366.35,86.68,26.84
44:20.2,1684230260,-1.13,366.35,86.68,26.84
44:20.3,1684230260,-1.13,366.35,86.68,26.84
44:20.4,1684230260,-0.89,366.35,86.68,26.84
44:20.6,1684230261,-0.89,366.29,86.68,26.84
44:20.7,1684230261,-0.89,366.29,86.68,26.84
44:20.7,1684230261,-0.89,366.29,86.68,26.84
44:20.9,1684230261,-0.89,366.29,86.68,26.84
44:21.0,1684230261,-0.89,366.29,86.68,26.84
44:21.1,1684230261,-0.89,366.29,86.68,26.84
44:21.2,1684230261,-0.65,366.29,86.68,26.84
44:21.3,1684230261,-0.65,366.35,86.68,26.84
44:21.4,1684230261,-0.65,366.35,86.68,26.84
44:21.5,1684230262,-0.65,366.35,86.68,26.84
44:21.7,1684230262,-0.65,366.35,86.68,26.84
44:21.8,1684230262,-0.65,366.35,86.68,26.84
44:21.9,1684230262,-0.65,366.35,86.68,26.84
44:22.0,1684230262,-1.06,366.35,86.68,26.84
44:22.1,1684230262,-1.06,366.35,86.68,26.84
44:22.2,1684230262,-1.06,366.35,86.68,26.84
44:22.4,1684230262,-1.06,366.35,86.68,26.84
44:22.5,1684230262,-1.06,366.35,86.68,26.84
44:22.6,1684230263,-1.06,366.35,86.68,26.84
44:22.7,1684230263,-0.83,366.35,86.68,26.84
44:22.8,1684230263,-0.83,366.37,86.68,26.84
44:22.9,1684230263,-0.83,366.37,86.68,26.84
44:23.0,1684230263,-0.83,366.37,86.68,26.84
44:23.2,1684230263,-0.83,366.37,86.68,26.84
44:23.3,1684230263,-0.83,366.37,86.68,26.84
44:23.4,1684230263,-0.83,366.37,86.68,26.84
44:23.5,1684230264,-1,366.37,86.68,26.84
44:23.6,1684230264,-1,366.31,86.68,26.84
44:23.7,1684230264,-1,366.31,86.68,26.84
44:23.9,1684230264,-1,366.31,86.68,26.84
44:23.9,1684230264,-1,366.31,86.68,26.84
44:24.0,1684230264,-1,366.31,86.68,26.84
44:24.1,1684230264,-0.87,366.31,86.68,26.84
44:24.3,1684230264,-0.87,366.33,86.68,26.84
44:24.4,1684230264,-0.87,366.33,86.68,26.84
44:24.5,1684230264,-0.87,366.33,86.68,26.84
44:24.6,1684230265,-0.87,366.33,86.68,26.84
44:24.7,1684230265,-0.87,366.33,86.68,26.84
44:24.8,1684230265,-0.87,366.33,86.68,26.84
44:25.0,1684230265,-1.44,366.33,86.68,26.84
44:25.1,1684230265,-1.44,366.33,86.68,26.84
44:25.2,1684230265,-1.44,366.33,86.68,26.84
44:25.3,1684230265,-1.44,366.33,86.68,26.84
44:25.4,1684230265,-1.44,366.33,86.68,26.84
44:25.5,1684230266,-1.44,366.33,86.68,26.84
44:25.6,1684230266,-1.44,366.33,86.68,26.84
44:25.8,1684230266,-1.32,366.33,86.68,26.84
44:25.8,1684230266,-1.32,366.33,86.68,26.84
44:25.9,1684230266,-1.32,366.33,86.68,26.84
44:26.1,1684230266,-1.32,366.33,86.68,26.84
44:26.2,1684230266,-1.32,366.33,86.68,26.84
44:26.3,1684230266,-1.32,366.33,86.68,26.84
44:26.4,1684230266,-1.95,366.33,86.68,26.84
44:26.5,1684230267,-1.95,366.25,86.68,26.84
44:26.6,1684230267,-1.95,366.25,86.68,26.84
44:26.7,1684230267,-1.95,366.25,86.68,26.84
44:26.9,1684230267,-1.95,366.25,86.68,26.84
44:27.0,1684230267,-1.95,366.25,86.68,26.84
44:27.1,1684230267,-1.95,366.25,86.68,26.84
44:27.2,1684230267,-0.89,366.25,86.68,26.84
44:27.3,1684230267,-0.89,366.31,86.68,26.84
44:27.4,1684230267,-0.89,366.31,86.68,26.84
44:27.6,1684230268,-0.89,366.31,86.68,26.83
44:27.7,1684230268,-0.89,366.31,86.68,26.83
44:27.8,1684230268,-0.89,366.31,86.68,26.83
44:27.9,1684230268,-0.89,366.31,86.68,26.83
44:28.0,1684230268,-0.9,366.33,86.68,26.83
44:28.1,1684230268,-0.9,366.33,86.68,26.83
44:28.2,1684230268,-0.9,366.33,86.68,26.83
44:28.3,1684230268,-0.9,366.33,86.68,26.83
44:28.4,1684230268,-0.9,366.33,86.68,26.83
44:28.5,1684230269,-0.9,366.33,86.68,26.83
44:28.7,1684230269,-0.63,366.33,86.68,26.83
44:28.8,1684230269,-0.63,366.27,86.68,26.83
44:28.9,1684230269,-0.63,366.27,86.68,26.83
44:29.0,1684230269,-0.63,366.27,86.68,26.83
44:29.1,1684230269,-0.63,366.27,86.68,26.83
44:29.2,1684230269,-0.63,366.27,86.68,26.83
44:29.3,1684230269,-0.63,366.27,86.68,26.83
44:29.5,1684230269,-0.88,366.27,86.68,26.83
44:29.5,1684230270,-0.88,366.37,86.68,26.83
44:29.6,1684230270,-0.88,366.37,86.68,26.83
44:29.8,1684230270,-0.88,366.37,86.68,26.83
44:29.9,1684230270,-0.88,366.37,86.68,26.83
44:30.0,1684230270,-0.88,366.37,86.68,26.83
44:30.2,1684230270,-0.88,366.37,86.68,26.83
44:30.2,1684230270,-0.66,366.33,86.68,26.83
44:30.3,1684230270,-0.66,366.33,86.68,26.83
44:30.5,1684230270,-0.66,366.33,86.68,26.83
44:30.6,1684230271,-0.66,366.33,86.68,26.83
44:30.7,1684230271,-0.66,366.33,86.68,26.83
44:30.8,1684230271,-0.66,366.33,86.68,26.83
